File Path,File Name,Project Number,File Extension,File Size (bytes),Modification Date,Revision Number,Project Folder Name,Database Match,Project Name,RFP Number,RFP Issue Date,RFP Status,RFP Stage,Company,Contact,Package,Staff Name,Activity,RFP Created At,RFP Updated At
"/mnt/e/emittiv/emittiv/01 Projects/01 RFPs/_yy-cccnn Project Name/02 Proposal/yy-cccnn-FP-01.indd","yy-cccnn-FP-01.indd","","indd","1662976","2025-06-04 19:25:56","01","","NO","","","","","","","","","","","",""
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-96601 Dammam Waterpark/02 Proposal/e-22-96601-FP-01.pdf","e-22-96601-FP-01.pdf","22-96601","pdf","209681","2022-08-30 07:10:30","01","22-96601 Dammam Waterpark","YES","Dammam Entertainment Development","22-96601-FP","220830","Lost","Lost","company:SLG","contacts:f0itcziq0buolzzdzkkf","Lighting, Video, Sound, SFX, Show Control, IPTV, Mechanical Effects","Martin Robert","Technical Systems Design and Consultancy","2025-06-25T13:22:15.056Z","2025-06-25T13:22:15.056Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97111 TPF Sound System/02 Proposal/e-22-97111-FP-01 - signed.pdf","e-22-97111-FP-01 - signed.pdf","22-97111","pdf","166367","2022-07-29 14:55:30","01","22-97111 TPF Sound System","YES","Palm Fountain","22-97111-FP","220729","Lost","Lost","company:NKLM","contacts:ynjbdn2v9lsb7hviz2cg","Audio","Andrew Hawkes","Audio System Design and Consultancy","2025-06-25T13:22:34.984Z","2025-06-25T13:22:34.984Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97112 The View Exp Ctr/02 Proposal/e-22-97112-FP-01 - signed.pdf","e-22-97112-FP-01 - signed.pdf","22-97112","pdf","157047","2022-07-29 14:55:30","01","22-97112 The View Exp Ctr","NO","The View at the Palm","","","","","","","","","","",""
"/mnt/e/emittiv/emittiv/01 Projects/99 Completed/22-97113 MAF FEC/02 Proposal/22-97113-FP-02.pdf","22-97113-FP-02.pdf","22-97113","pdf","111415","2023-01-10 14:48:34","02","22-97113 MAF FEC","YES","MAF FEC","22-97113-FP","230110","Awarded","Awarded","company:SLG","contacts:f0itcziq0buolzzdzkkf","Lighting, Video, Sound, Acoustics, Technical","Martin Robert","Sensory Technologies Design and Consultancy","2025-06-25T13:22:34.984Z","2025-06-25T13:22:34.984Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97114 HoH/02 Proposal/e-22-97114-FP-01.pdf","e-22-97114-FP-01.pdf","22-97114","pdf","187333","2022-12-07 16:50:42","01","22-97114 HoH","YES","House of Hype","22-97114-FP","221207","Lost","Lost","company:HYP","contacts:8b27zl95gco2z4f25o4e","Specialist Lighting, Specialist Lighting Control Systems","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:27:11.795Z","2025-06-25T13:27:11.795Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97115 Kids Activity Park AUH/02 Proposal/e-22-97115-FP-02.pdf","e-22-97115-FP-02.pdf","22-97115","pdf","138654","2023-03-08 05:52:31","02","22-97115 Kids Activity Park AUH","YES","Kids Activity Park","22-97115-FP","221223","Lost","Lost","company:SAN","contacts:3ffcc3qc2sld8zifysvq","Lighting, Video, Sound, SFX, Control Systems","Martin Robert","Sensory Design and Consultancy","2025-06-25T13:27:11.796Z","2025-06-25T13:27:11.796Z"
"/mnt/e/emittiv/emittiv/01 Projects/22 RFP/22-97199 EMT/02 Proposal/22-97199-FP-01.pdf","22-97199-FP-01.pdf","22-97199","pdf","101632","2024-08-19 14:27:37","01","22-97199 EMT","YES","[No Project Match]","22-97199-FP","240819","Active","Sent","company:EMT","contacts:hqpz6h9z1v5w6uj46tl2","Specialist Lighting","Martin Robert","Design and Consultancy","2025-06-25T13:27:11.796Z","2025-06-25T13:27:11.796Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96601 Dammam Adv World/02 Proposal/e-23-96601-FP-01.pdf","e-23-96601-FP-01.pdf","23-96601","pdf","138100","2023-03-24 07:17:06","01","23-96601 Dammam Adv World","YES","Dammam Adventure World","23-96601-FP","230324","Lost","Lost","company:KCC","contacts:t6s1857mu4frfmto1l7m","Lighting, Sound, Associated Control Systems","Martin Robert","Specialist Lighting Design","2025-06-25T13:27:11.796Z","2025-06-25T13:27:11.796Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96602 Shoot the Chute/01 Client Info/01 Pre Award/01 RFP/RFP - Ride concept & design for the ride experience.pdf","RFP - Ride concept & design for the ride experience.pdf","23-96602","pdf","580613","2023-03-24 11:25:42","01","23-96602 Shoot the Chute","YES","Shoot the Chute","23-96602-FP","230403","Lost","Lost","company:SLG","contacts:f0itcziq0buolzzdzkkf","Lighting, Video, Sound, SFX/Animatronics, Control Systems","Martin Robert","Sensory Technology Design","2025-06-25T13:27:11.797Z","2025-06-25T13:27:11.797Z"
